SE;CO;IN;IT
جملة;جملة;إجمالي مؤسسات التعليم العالي الأخرى;إجمالي مؤسسات التعليم العالي الأخرى
جملة;المعهد العالي للأمر بالمعروف والنهي عن المنكر ;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا
جملة;العلوم الاجتماعية;جامعة الإمام محمد بن سعود الإسلامية ;جامعة الإمام محمد بن سعود الإسلامية 
جملة;الدعوة والإعلام;جامعة الإمام محمد بن سعود الإسلامية ;جامعة الإمام محمد بن سعود الإسلامية 
جملة;اللغات والترجمة;جامعة الإمام محمد بن سعود الإسلامية ;جامعة الإمام محمد بن سعود الإسلامية 
جملة;الاقتصاد والعلوم الإدراية;جامعة الإمام محمد بن سعود الإسلامية ;جامعة الإمام محمد بن سعود الإسلامية 
جملة;المعهد العالي للقضاء;جامعة الإمام محمد بن سعود الإسلامية ;جامعة الإمام محمد بن سعود الإسلامية 
جملة;إدارة أعمال;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا
جملة;الآداب;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا
جملة;الحقوق والعلوم السياسية;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا
جملة;التربية;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا
جملة;التمريض;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا
جملة;السياحة والآثار;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا
جملة;الصيدلة;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا
جملة;الطب;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا
جملة;العلوم;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا
جملة;العلوم الطبية التطبيقية;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا
جملة;العمارة والتخطيط;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا
جملة;الهندسة;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا
جملة;طب الأسنان;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا
جملة;علوم الأغذية والزراعة;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا
جملة;علوم الحاسب والمعلومات;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا
جملة;اللغات والترجمة;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا
جملة;علوم الرياضة والنشاط البدني;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا
جملة;الأرصاد والبيئة وزراعة المناطق الجافة;جامعة الملك عبد العزيز دراسات عليا;جامعة الملك عبد العزيز دراسات عليا
جملة;الصيدلة;جامعة الملك عبد العزيز دراسات عليا;جامعة الملك عبد العزيز دراسات عليا
جملة;تصاميم البيئة;جامعة الملك عبد العزيز دراسات عليا;جامعة الملك عبد العزيز دراسات عليا
جملة;علوم الأرض;جامعة الملك عبد العزيز دراسات عليا;جامعة الملك عبد العزيز دراسات عليا
جملة;علوم البحار;جامعة الملك عبد العزيز دراسات عليا;جامعة الملك عبد العزيز دراسات عليا
جملة;الاقتصاد المنزلي;جامعة الملك عبد العزيز دراسات عليا;جامعة الملك عبد العزيز دراسات عليا
جملة;العلوم الانسانية والآداب فرع البنات;جامعة الملك عبد العزيز دراسات عليا;جامعة الملك عبد العزيز دراسات عليا
جملة;الاتصال والإعلام;جامعة الملك عبد العزيز دراسات عليا;جامعة الملك عبد العزيز دراسات عليا
جملة;معهد اللغة الانجليزية;جامعة الملك عبد العزيز دراسات عليا;جامعة الملك عبد العزيز دراسات عليا
جملة;الحقوق;جامعة الملك عبد العزيز دراسات عليا;جامعة الملك عبد العزيز دراسات عليا
جملة;تصاميم البيئة;جامعة الملك فهد للبترول والمعادن دراسات عليا;جامعة الملك فهد للبترول والمعادن دراسات عليا
جملة;علوم الحاسب;جامعة الملك فيصل دراسات عليا;جامعة الملك فيصل دراسات عليا
جملة;الطب البيطري والثروة الحيوانية;جامعة الملك فيصل دراسات عليا;جامعة الملك فيصل دراسات عليا
جملة;علوم الحاسب الآلي;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا
جملة;المعهد العالي للأئمة والخطباء;جامعة طيبة دراسات عليا;جامعة طيبة دراسات عليا
جملة;التربية;جامعة الطائف دراسات عليا;جامعة الطائف دراسات عليا
جملة;العلوم;جامعة الطائف دراسات عليا;جامعة الطائف دراسات عليا
جملة;عمادة الدراسات العليا;جامعة الملك سعود بن عبد العزيز للعلوم الصحية دراسات عليا;جامعة الملك سعود بن عبد العزيز للعلوم الصحية دراسات عليا
جملة;العلوم الطبية التطبيقية بالرياض;جامعة الملك سعود بن عبد العزيز للعلوم الصحية دراسات عليا;جامعة الملك سعود بن عبد العزيز للعلوم الصحية دراسات عليا
جملة;طب الأسنان بالرياض;جامعة الملك سعود بن عبد العزيز للعلوم الصحية دراسات عليا;جامعة الملك سعود بن عبد العزيز للعلوم الصحية دراسات عليا
جملة;الصحة العامة والمعلوماتية الصحية بالرياض;جامعة الملك سعود بن عبد العزيز للعلوم الصحية دراسات عليا;جامعة الملك سعود بن عبد العزيز للعلوم الصحية دراسات عليا
